model	fcst_var	fcst_lead	count	fbias
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	030000	5	1.141738
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	060000	6	1.1690083333333334
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	090000	6	1.2327683333333332
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	120000	6	1.3153249999999999
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	150000	6	1.293173333333333
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	180000	6	1.1507616666666667
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	210000	6	1.1224783333333332
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	240000	6	1.147705
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	270000	6	1.1513049999999998
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	300000	6	1.2156266666666666
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	330000	6	1.2141866666666665
RRFS_GDAS_GF.SPP.SPPT_mem01	APCP_03	360000	6	1.3249133333333332
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	030000	6	1.4784966666666666
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	060000	6	1.2891116666666667
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	090000	6	1.3250866666666667
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	120000	6	1.3622783333333333
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	150000	6	1.2931183333333334
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	180000	6	1.142425
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	210000	6	1.10828
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	240000	6	1.1387983333333334
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	270000	6	1.2119033333333333
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	300000	6	1.3137100000000002
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	330000	6	1.3281216666666666
RRFS_GDAS_GF.SPP.SPPT_mem02	APCP_03	360000	6	1.4029416666666668
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	030000	6	1.4622266666666668
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	060000	6	1.3080166666666668
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	090000	6	1.2725583333333335
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	120000	6	1.3149783333333336
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	150000	6	1.313955
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	180000	6	1.159075
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	210000	6	1.1075733333333335
RRFS_GDAS_GF.SPP.SPPT_mem03	APCP_03	240000	6	1.14286
